Категория;Подкатегория;Имя RU;Имя EN;Имя TW;Имя CN;Имя KR;Имя JP;Имя PT;Имя TH;Имя FR;Имя DE;Имя SP
Постоянные;NPCs;Мастер испытаний для убежища;Trialmaster Hideout Decoration;裝飾物：試煉大師;装饰物：试炼使者;시련의 대가 은신처 장식물;トライアルマスターの隠れ家装飾品;Decoração de Refúgio: Mestre das Provações;ของตกแต่ง ผู้คุมบททดสอบ;Maître des épreuves;Prüfungsmeister;Decoración del Maestro de pruebas para guarida
Постоянные;NPCs;Гоблины-игроки для убежища;Goblin Gamblers Hideout Decoration;藏身處裝飾物：哥布林賭徒;装饰物：地精游戏者;고블린 도박꾼 은신처 장식물;ゴブリンギャンブラー隠れ家装飾品;"Decoração de Refúgio ""Apostadoras Goblin""";ของตกแต่ง วงพนันก็อบลิน;Décoration de repaire : Gobelins joueurs;'Spielende Goblins'-Versteckdekoration;Decoración de guarida de Goblins apostadores
Постоянные;NPCs;Навали;Navali;娜瓦莉;娜瓦莉;나발리;ナヴァリ;Navali;นาวาลี;Navali;Navali;Navali
Постоянные;NPCs;Фауст;Ange;安潔;安吉;앤지;アンジェ;Ange;แอนจ์;Ange;Ange;Ange
Постоянные;NPCs;Мистик-Сфинкс для убежища;Sphinx Mystic Hideout Decoration;藏身處裝飾物：神秘獅身人面;装饰物：狮身人面秘法;스핑크스 신비학자 은신처 장식물;スフィンクスミスティック隠れ家装飾品;"Decoração de refúgio ""Esfinge Mística""";ของตกแต่ง ฤๅษีสฟิงซ์;Décoration de repaire : Sphinx mystique;Sphinx-Versteckdekoration;Decoración de guarida de Esfinge mística
Постоянные;NPCs;Бакалейщик;Backalley Trader;裝飾物：黑街商人;后巷商人;뒷골목 상인;路地裏の商人;Negociante dos Becos;พ่อค้าตลาดมืด;Marchand clandestin;Hinterhofhändler;Comerciante clandestino
Постоянные;NPCs;Заточённый джинн-торговец;Imprisoned Djinn Merchant;裝飾物：被囚巨靈商人;被囚的巨灵商人;갇힌 진 상인;囚われたジンの商人;Monge;Monk;Moine;Mönch;Monje
Опциональные;Hideout Item;Верстак бронника;Armourer's Workbench;護甲鍛造台;护甲锻造台;방어구 장인의 작업대;防具屋の作業台;Bancada do Armeiro;Armourer's Workbench;Plan de travail de l'armurier;Werkbank des Rüstungsschmieds;Mesa de trabajo del armero
Опциональные;Hideout Item;Инструменты лучного мастера;Bowmaker's Tools;製弓器械;制弓器械;활 제작자의 도구;弓師の道具;Ferramentas do Fabricante de Arcos;Bowmaker's Tools;Outils du facteur d'arcs;Werkzeuge des Bogenmachers;Herramientas del fabricante de arcos
Опциональные;Hideout Item;Надгробия;Headstones;遠古石碑;远古石碑;묘석;墓石;Lápides;Headstones;Pierres tombales;Grabsteine;Lápidas
Опциональные;Hideout Item;Точильный круг;Sharpening Wheel;打磨砂輪;打磨砂轮;숫돌바퀴;砥石車;Esmeril;Sharpening Wheel;Meule à affûter;Schleifstein;Rueda de afilar
Опциональные;Hideout Item;Благословенная купель;Blessing Font;聖泉洗禮台;圣泉洗礼台;축복의 샘;洗礼台;Fonte de Bênçãos;Blessing Font;Fonts de bénédiction;Segnungsbecken;Fuente de bendición
Опциональные;Hideout Item;Верстак умельца;Artisan's Bench;工藝方桌;工艺方桌;장인의 작업대;職人の作業台;Bancada do Artesão;Artisan's Bench;Établi d'artisan;Werkbank des Kunsthandwerkers;Banco del artesano
Опциональные;Hideout Item;Верстак гладиатора;Gladiator's Workbench;鬥士工藝台;斗士工艺台;검투사의 작업대;剣闘士の作業台;Bancada do Gladiador;Gladiator's Workbench;Établi du gladiateur;Werkbank des Gladiators;Mesa de trabajo del gladiador
Опциональные;Hideout Item;Верстак;Crafting Bench;工藝台;工艺工作台;작업대;クラフトベンチ;Mesa de Criação;โต๊ะคราฟท์;Établi d'artisanat;Werkbank;Mesa de fabricación
Опциональные;Hideout Item;Хроносфера;Chronosphere;裝飾物：時空結界;时空传送仪;시간의 구체;クロノスフィア;Cronosfera;เครื่องคุมกาลเวลา;Chronosphere;Chronosphäre;Cronoesfera
Опциональные;Hideout Item;Переключатель Атласа;Atlas Toggle;裝飾物：輿圖切換;异界图鉴开关;아틀라스 전환;アトラストグル;Ativar Atlas;เปิด/ปิด แอตลาส;Mode Atlas;Atlas-Schaltfläche;Interruptor del Atlas
Опциональные;Hideout Item;Переключатель приближения;Zoom Toggle;裝飾物：縮放切換;缩放开关;시야 전환;ズームトグル;Ativar Zoom;เปิด/ปิด การซูม;Mode Zoom;Zoom-Schaltfläche;Interruptor de zoom
Опциональные;Hideout Item;Пламенный след;Searing Remnant;裝飾物：灼烙遺跡;装饰物：灼热遗迹;이글거리는 유물;灼熱のレムナント;Resto Cauterizante;ซากอาบเพลิง;Vestige ardent;Brennendes Relikt;Remanente abrasador
Опциональные;Hideout Item;Пустынный павильон;Desert Pavilion;沙漠亭樓;沙漠大帐;사막 별채;砂漠のパビリオン;Pavilhão do Deserto;กระโจมทะเลทราย;Pavillon du Désert;Wüstenpavillon;Pabellón desértico
Опциональные;Hideout Item;Пустынная палатка;Desert Tent;沙漠帳篷;沙漠帐篷;사막 천막;砂漠のテント;Tenda do Deserto;เต็นท์ทะเลทราย;Tente du Désert;Wüstenzelt;Carpa desértica
Опциональные;Hideout Item;Кактус в горшке;Potted Cactus;仙人掌盆栽;盆栽仙人掌;선인장 화분;鉢植えのサボテン;Cacto no Vaso;กระบองเพชรในกระถาง;Cactus en pot;Kaktustopf;Cáctus en maceta
Опциональные;Hideout Item;Удобные подушки;Comfortable Cushions;舒適坐墊;舒适的垫子;편안한 방석;快適なクッション;Almofadas Confortáveis;เบาะสบายตัว;Coussins confortables;Bequeme Kissen;Almohadones cómodos
Опциональные;Hideout Item;Пустынная статуя;Desert Statue;沙漠雕像;沙漠雕像;사막 조각상;砂漠の像;Estátua do Deserto;รูปปั้นทะเลทราย;Statue du Désert;Wüstenstatue;Estatua desértica
Опциональные;Hideout Item;Горелка;Pitch Burner;漆黑香爐;沥青灯;타르 화로;ピッチバーナー;Fosso de Piche;ตะเกียงเผา;Brasero;Feuergefäß;Quemador de campo
Опциональные;Hideout Item;Гоночный флаг роа (голубой);Rhoa Race Flag (Cyan);恐喙鳥競賽旗幟（青）;恐喙鸟竞速旗（青色）;로아 경주 깃발 (청록색);ロアレースの旗 (シアン );Bandeira de Corrida de Rhoa (Ciano);ธงแข่งโรอ์ (ฟ้า);Drapeau de course Rhoa (Cyan);Rhoa-Rennflagge (cyanfarben);Bandera de carreras de rhoa (cian)
Опциональные;Hideout Item;Гоночный флаг роа (фиолетовый);Rhoa Race Flag (Purple);恐喙鳥競賽旗幟（紫）;恐喙鸟竞速旗（紫色）;로아 경주 깃발 (보라색);ロアレースの旗 (パープル );Bandeira de Corrida de Rhoa (Roxo);ธงแข่งโรอ์ (ม่วง);Drapeau de course Rhoa (Violet);Rhoa-Rennflagge (violett);Bandera de carreras de rhoa (morada)
Опциональные;Hideout Item;Гоночный флаг роа (жёлтый);Rhoa Race Flag (Yellow);恐喙鳥競賽旗幟（黃）;恐喙鸟竞速旗（黄色）;로아 경주 깃발 (노란색);ロアレースの旗 (イエロー );Bandeira de Corrida de Rhoa (Amarelo);ธงแข่งโรอ์ (เหลือง);Drapeau de course Rhoa (Jaune);Rhoa-Rennflagge (gelb);Bandera de carreras de rhoa (amarilla)
Опциональные;Hideout Item;Гоночный флаг роа (красный);Rhoa Race Flag (Red);恐喙鳥競賽旗幟（紅）;恐喙鸟竞速旗（红色）;로아 경주 깃발 (빨간색);ロアレースの旗 (レッド );Bandeira de Corrida de Rhoa (Vermelho);ธงแข่งโรอ์ (แดง);Drapeau de course Rhoa (Rouge);Rhoa-Rennflagge (rot);Bandera de carreras de rhoa (roja)
Опциональные;Hideout Item;Гоночный флаг роа (зелёный);Rhoa Race Flag (Green);恐喙鳥競賽旗幟（綠）;恐喙鸟竞速旗（绿色）;로아 경주 깃발 (초록색);ロアレースの旗 (グリーン );Bandeira de Corrida de Rhoa (Verde);ธงแข่งโรอ์ (เขียว);Drapeau de course Rhoa (Vert);Rhoa-Rennflagge (grün);Bandera de carreras de rhoa (verde)
Опциональные;Hideout Item;Гоночный флаг роа (синий);Rhoa Race Flag (Blue);恐喙鳥競賽旗幟（藍）;恐喙鸟竞速旗（蓝色）;로아 경주 깃발 (파란색);ロアレースの旗 (ブルー );Bandeira de Corrida de Rhoa (Azul);ธงแข่งโรอ์ (น้ำเงิน);Drapeau de course Rhoa (Bleu);Rhoa-Rennflagge (blau);Bandera de carreras de rhoa (azul)
Опциональные;Hideout Item;Пульт управления гонкой роа;Rhoa Race Controller;恐喙鳥競賽控制器;恐喙鸟竞速控制台;로아 경주 컨트롤러;ロアレースコントローラー;Controle da Corrida de Rhoas;ที่คุมการแข่งโรอ์;Contrôleur de course Rhoa;Rhoa-Rennen-Startplatz;Controlador de carreras de rhoa
Опциональные;Hideout Item;Объект для наблюдения за гонкой роа;Rhoa Race Spectate;恐喙鳥競賽觀看裝置;恐喙鸟竞速观赛台;로아 경주 관전;ロアレース観戦;Espectador da Corrida de Rhoas;ที่ดูการแข่งโรอ์;Spectateur de course Rhoa;Rhoa-Rennen-Zuschauerplatz;Observación de carreras de rhoa
Опциональные;Hideout Item;Дополнительный гоночный флаг роа;Extra Rhoa Race Flag;額外恐喙鳥競賽旗幟;额外恐喙鸟竞速旗;추가 로아 경주 깃발;追加のロアレースの旗;Bandeira Extra da Corrida de Rhoas;ธงแข่งโรอ์ เพิ่มเติม;Drapeau de course Rhoa supplémentaire;Extra Rhoa-Rennflagge;Bandera de carreras de rhoa extra
Опциональные;Hideout Item;Дополнительный пульт управления гонкой роа;Extra Rhoa Race Controller;額外恐喙鳥競賽控制器;额外恐喙鸟竞速控制台;추가 로아 경주 컨트롤러;追加のロアレースコントローラー;Controle Extra da Corrida de Rhoas;ที่คุมการแข่งโรอ์ เพิ่มเติม;Contrôleur de course Rhoa supplémentaire;Extra Rhoa-Rennen-Startplatz;Controlador de carreras de rhoa extra
Опциональные;Hideout Item;Дополнительный объект для наблюдения за гонкой роа;Extra Rhoa Race Spectate;額外恐喙鳥競賽觀看裝置;额外恐喙鸟竞速观赛台;추가 로아 경주 관전;追加のロアレースの観客;Espectador Extra da Corrida de Rhoas;ที่ดูการแข่งโรอ์ เพิ่มเติม;Spectateur de course Rhoa supplémentaire;Extra Rhoa-Rennen-Zuschauerplatz;Observación de carreras de rhoa extra
Опциональные;Hideout Item;Декоративный гоночный флаг роа;Decorative Rhoa Race Flag;裝飾用恐喙鳥競賽旗幟;装饰性恐喙鸟竞速旗;장식용 로아 경주 깃발;装飾のロアレースの旗;Bandeira Decorativa da Corrida de Rhoas;ธงแข่งโรอ์ ตกแต่ง;Drapeau de course Rhoa décoratif;Dekorative Rhoa-Rennflagge;Bandera de carreras de rhoa decorativa
Опциональные;Hideout Item;Декоративный пульт управления гонкой роа;Decorative Rhoa Race Controller;裝飾用恐喙鳥競賽控制器;装饰性恐喙鸟竞速控制台;장식용 로아 경주 컨트롤러;装飾のロアレースコントローラー;Controlador Decorativo da Corrida de Rhoas;ที่คุมการแข่งโรอ์ ตกแต่ง;Contrôleur de course Rhoa décoratif;Dekorativer Rhoa-Rennen-Startplatz;Controlador de carreras de rhoa decorativo
Опциональные;Hideout Item;Декоративный объект для наблюдения за гонкой роа;Decorative Rhoa Race Spectate;裝飾用恐喙鳥競賽觀看裝置;装饰性恐喙鸟竞速观赛台;장식용 로아 경주 관전;装飾のロアレースの観客;Espectador Decorativo da Corrida de Rhoas;ที่ดูการแข่งโรอ์ ตกแต่ง;Spectateur de course Rhoa décorative;Dekorativer Rhoa-Rennen-Zuschauerplatz;Observación de carreras de rhoa decorativa
Опциональные;Hideout Item;Декорации Испытаний Хаоса для убежища;Trials of Chaos Hideout Decoration;藏身處裝飾品：混沌試煉;装饰物：混沌试炼;혼돈의 시련 은신처 장식물;カオスの試練の隠れ家装飾品;Decoração de Refúgio Provação do Caos;ของตกแต่ง บททดสอบแห่งเคออส;Épreuves des Chaos (Décoration de Repaire);'Prüfungen des Chaos'-Versteckdekoration;Decoración de guarida de las Pruebas de Caos
Опциональные;Hideout Item;Колодец душ;Well of Souls Decoration;裝飾物：靈魂之井;装饰物：灵魂之井;영혼의 우물 장식물;魂の井戸装飾品;Decoração Poço das Almas;ของตกแต่ง บ่อวิญญาณ;Décoration Puits des âmes;Brunnen der Seelen;Decoración de Pozo de almas
Опциональные;Hideout Item;Ломовой козёл;Burdenback Billy Goat Pet;寵物：重負比利山羊寵物;宠物：负鞍公山羊;등짐 진 숫염소 애완동물;荷運びのヤギペット;Mascote Mulinha;สัตว์เลี้ยงแพะแบกหาม;Billy le Bouc Bête de somme (Familier);Billy die Packziege;Mascota Cabra de carga
Опциональные;Hideout Item;Жабий идол Порчи для убежища;Toad Idol of Corruption Hideout Decoration;裝飾物：汙染之蟾雕偶;装饰物：腐化蟾蜍雕像;타락의 두꺼비 우상 은신처 장식물;穢れのカエルの像隠れ家装飾品;Decoração de refúgio Ídolo do Sapo da Corrupção;ของตกแต่ง เทวรูปคางคกมลทิน;Décoration de Repaire : Crapaud-idole de la corruption;Kröten-Götze der Verderbtheit;Decoración de Ídolo sapo de corrupción para guarida
Опциональные;Hideout Item;Жабий идол хаоса для убежища;Toad Idol of Chaos Hideout Decoration;裝飾物：混沌之蟾雕偶;装饰物：混沌蟾蜍雕像;혼돈의 두꺼비 우상 은신처 장식물;カオスのカエルの像隠れ家装飾品;Decoração de refúgio Ídolo Sapo do Caos;ของตกแต่ง เทวรูปคางคกเคออส;Décoration de Repaire : Crapaud-idole du chaos;Kröten-Götze des Chaos;Decoración de Ídolo sapo de caos para guarida
Опциональные;Hideout Item;Жабий идол алхимии для убежища;Toad Idol of Alchemy Hideout Decoration;裝飾物：點金之蟾雕偶;装饰物：点金蟾蜍雕像;연금술의 두꺼비 우상 은신처 장식물;錬金術のカエルの像隠れ家装飾品;Decoração de refúgio Ídolo Sapo da Alquimia;ของตกแต่ง เทวรูปคางแปรธาตุ;Décoration de Repaire : Crapaud-idole de l'alchimie;Kröten-Götze der Alchemie;Decoración de Ídolo sapo de alquimia para guarida
Опциональные;Miscellaneous;Жареный роа;Rhoa Dinner;裝飾物：喙鳥晚宴;装饰物：恐喙吃鸡大餐;로아 만찬;ロアディナー;Rhoa Assado;Rhoa Dinner;Dîner à base de rhoa;Rhoa-Spieß;Cena de Rhoa
Опциональные;Miscellaneous;Тайник стяжателя;Hoarder's Stash;裝飾物：囤積者倉庫;仓库：囤积者;비축가 보관함;ホーダーのスタッシュ;Baú do Acumulador;คลังเก็บของนักกักตุน;Réserve du Collectionneur;Sammlertruhe;Alijo del acumulador
Опциональные;Miscellaneous;Хранилище гильдии стяжателя;Hoarder's Guild Stash;裝飾物：囤積者公會倉庫;公会仓库：囤积者;비축가 길드 보관함;ホーダーのギルドスタッシュ;Baú de Guilda do Acumulador;คลังเก็บของกิลด์นักกักตุน;Réserve de Guilde du Collectionneur;Sammler-Gildentruhe;Alijo del acumulador de hermandad
Опциональные;Miscellaneous;Тайник Каландры;Kalandra Stash;裝飾物：卡蘭德倉庫;仓库：卡兰德;칼란드라 보관함;カランドラスタッシュ;Baú de Kalandra;คลังเก็บของ Kalandra;Réserve de Kalandra;Kalandra-Truhe;Alijo de Kalandra
Опциональные;Miscellaneous;Хранилище гильдии Каландры;Kalandra Guild Stash;裝飾物：卡蘭德公會倉庫;公会仓库：卡兰德;칼란드라 길드 보관함;カランドラギルドスタッシュ;Baú de Guilda de Kalandra;คลังเก็บของกิลด์ Kalandra;Réserve de Guilde de Kalandra;Kalandra-Gildentruhe;Alijo de hermandad de Kalandra
Опциональные;Miscellaneous;Тайник сокровищ дракона;Dragon's Currency Hoard Stash;裝飾物：古龍通貨屯物倉庫;仓库：巨龙通货财宝堆;용의 화폐 비축물 보관함;ドラゴンのカレンシーの山スタッシュ;Baú Tesouro Monetário do Dragão;คลังเก็บของกองสมบัติเงินตรามังกร;Réserve du Trésor du Dragon;Währungsschatz-Truhe des Drachens;Alijo de Riquezas de dragón
Опциональные;Miscellaneous;Хранилище гильдии сокровищ дракона;Dragon's Currency Hoard Guild Stash;裝飾物：古龍屯物公會倉庫;公会仓库：巨龙通货财宝堆;용의 화폐 비축물 길드 보관함;ドラゴンのカレンシーの山ギルドスタッシュ;Baú de Guilda Tesouro Monetário do Dragão;คลังเก็บของกิลด์กองสมบัติเงินตรามังกร;Réserve de Guilde du Trésor du Dragon;Währungsschatz-Gildentruhe des Drachens;Alijo de hermandad de Riquezas de dragón
Опциональные;Miscellaneous;Тайник Горнила;Crucible Stash;裝飾物：熔火倉庫;仓库：古神熔炉;시련 보관함;クルーシブルスタッシュ;Baú Crucible;คลังเก็บของ Crucible;Réserve de Crucible;Crucible-Truhe;Alijo de Crucible
Опциональные;Miscellaneous;Хранилище гильдии Горнила;Crucible Guild Stash;裝飾物：熔火公會倉庫;公会仓库：古神熔炉;시련 길드 보관함;クルーシブルギルドスタッシュ;Baú de Guilda Crucible;คลังเก็บของกิลด์ Crucible;Réserve de Guilde de Crucible;Crucible-Gildentruhe;Alijo de hermandad de Crucible
Опциональные;Miscellaneous;Плодоремесленная установка;Horticrafting Station;裝飾物：園藝憩站;花园工艺站;푸르미 제작소;ハーベストクラフト台;Estação de Horticultura;โต๊ะคราฟท์สวน;Établi d'hortisanat;Anfertigungsstation;Mesa de fabricación herbaria
Опциональные;Miscellaneous;Сундук с семенами;Seed Stockpile;裝飾物：種子堆;装饰物：种子箱;씨앗 전리품;シード貯蔵庫;Pilha de Sementes;คลังเก็บเมล็ดพันธุ์;Réserve de graines;Samenvorrat;Reserva de semillas
Опциональные;Miscellaneous;Сундук Кражи;Heist Locker;裝飾物：劫盜鎖櫃;装饰物：夺宝奇兵陈列柜;강탈 사물함;ハイストロッカー;Armário Heist;ล็อกเกอร์โจรกรรม;Casier de Malfaiteur;Heist-Schließfach;Armario de Heist
Опциональные;Miscellaneous;Сундук экспедиции;Expedition Locker;裝飾物：探險鎖櫃;先祖秘藏储物柜;탐험 사물함;エクスペディションロッカー;Armário Expedition;ล็อกเกอร์กองสำรวจ;Casier d'Expédition;Expedition-Truhe;Armario de Expedition
Опциональные;Miscellaneous;Шкаф с Часовыми;Sentinel Locker;裝飾物：守望鎖櫃;护卫陈列柜;파수꾼 사물함;センチネルロッカー;Armário Sentinel;ล็อกเกอร์หุ่นอารักษ์;Casier de Sentinelles;Wächter-Truhe;Armario de Sentinel
Опциональные;Miscellaneous;Тотем Ритуала;Ritual Totem;裝飾物：祭祀圖騰;驱灵图腾;의식 토템;儀式のトーテム;Totem Ritualístico;Ritual Totem;Totem rituel;Ritualtotem;Tótem de ritual
Опциональные;Miscellaneous;Витрина;Item Display Case;裝飾物：勝利雕像;物品展示柜;아이템 진열장;アイテム展示ケース;Mostruário de Itens;ตู้โชว์ไอเทม;Vitrine;Glasvitrine;Vitrina de objetos
Опциональные;Miscellaneous;Манекен;Mannequin;裝飾物：挑戰雕像;假人;마네킹;マネキン;Manequim;หุ่นกระบอก;Mannequin;Rüstungspuppe;Maniquí
Опциональные;Miscellaneous;Статуя Легенды;Legend's Hideout Statue;裝飾物：恐喙鳥盛宴;传说藏身处雕像;전설의 은신처 석상;伝説の隠れ家の像;Estátua de Refúgio da Lenda;รูปปั้นที่ซ่อน Legend;Statue de Légende;Statue der Legende;Estatua de la leyenda para guarida
Опциональные;Miscellaneous;Статуя Чемпиона;Champion's Hideout Statue;裝飾物：西拉克紀念雕像;勇士藏身处雕像;용사의 은신처 석상;王者の隠れ家の像;Estátua de Refúgio do Campeão;รูปปั้นที่ซ่อน Champion;Statue de Champion;Statue des Streiters;Estatua del campeón para guarida
Опциональные;Miscellaneous;Статуя Победителя;Victor's Hideout Statue;裝飾物：瓦爾超靈紀念雕像;胜利藏身处雕像;승리자의 은신처 석상;勝者の隠れ家の像;Estátua de Refúgio do Vitorioso;รูปปั้นที่ซ่อน Victor;Statue du Vainqueur;Statue des Siegers;Estatua del vencedor para guarida
Опциональные;Miscellaneous;Статуя Претендента;Challenger's Hideout Statue;裝飾物：神主紀念雕像;挑战者藏身处雕像;도전자의 은신처 석상;挑戦者の隠れ家の像;Estátua de Refúgio do Desafiador;รูปปั้นที่ซ่อน Challenger;Statue de l'Opposant;Statue des Herausforderers;Estatua del retador para guarida
Опциональные;Miscellaneous;Пир из роа;Rhoa Feast;裝飾物：瑪拉凱紀念雕像;恐喙盛宴;로아 연회;ロアの肉;Banquete de Rhoa;Rhoa Feast;Festin de rhoa;Rhoa-Festmahl;Festín de rhoa
Опциональные;Miscellaneous;Памятная статуя Хиллока для убежища;Commemorative Hillock Statue Hideout Decoration;裝飾物：奇塔弗紀念雕像;装饰物：西拉克纪念雕像;기념 힐록 조각상 은신처 장식물;ヒロックの記念像隠れ家装飾品;Decoração de Refúgios: Estátua Comemorativa de Hillock;ของตกแต่ง รูปปั้นฮิลล็อกที่ระลึก;Statue commémorative de Hillock (Décoration de Repaire);Hillock-Ehrenstatue;Decoración de Estatua conmemorativa de Hillock para guarida
Опциональные;Miscellaneous;Памятная статуя Вседуши ваал для убежища;Commemorative Vaal Oversoul Statue Hideout Decoration;焦灼雕像;装饰物：瓦尔超灵纪念雕像;기념 바알 신령 조각상 은신처 장식물;ヴァール・オーバーソウルの記念像隠れ家装飾品;Decoração de Refúgios: Estátua Comemorativa da Sobrealma Vaal;ของตกแต่ง รูปปั้นมหาวิญญาณแห่งวาล์ที่ระลึก;Statue commémorative d'Âme souveraine vaal (Décoration de Reaire);Vaal-Überseele-Ehrenstatue;Decoración de Estatua conmemorativa del Alma suprema vaal para guarida
Опциональные;Miscellaneous;Памятная статуя Владыки для убежища;Commemorative Dominus Statue Hideout Decoration;透明染劑;装饰物：多米纳斯纪念雕像;기념 도미누스 조각상 은신처 장식물;ドミナスの記念像隠れ家装飾品;Decoração de Refúgios: Estátua Comemorativa de Dominus;ของตกแต่ง รูปปั้นโดมินัสที่ระลึก;Statue commémorative de Dominus (Décoration de Repaire);Dominus-Ehrenstatue;Decoración de Estatua conmemorativa de Dóminus para guarida
Опциональные;Miscellaneous;Памятная статуя Малахая для убежища;Commemorative Malachai Statue Hideout Decoration;物品外觀;装饰物：马拉凯纪念雕像;기념 말라카이 조각상 은신처 장식물;マラカイの記念像隠れ家装飾品;Decoração de Refúgios: Estátua Comemorativa de Malachai;ของตกแต่ง รูปปั้นมาลาไคที่ระลึก;Statue commémorative de Malachai (Décoration de Repaire);Malachai-Ehrenstatue;Decoración de Estatua conmemorativa de Malachai para guarida
Опциональные;Miscellaneous;Памятная статуя Китавы для убежища;Commemorative Kitava Statue Hideout Decoration;其它;装饰物：奇塔弗纪念雕像;기념 키타바 조각상 은신처 장식물;キタヴァの記念像隠れ家装飾品;Decoração de Refúgios: Estátua Comemorativa de Kitava;ของตกแต่ง รูปปั้นคิทาวาที่ระลึก;Statue commémorative de Kitava (Décoration de Repaire);Kitava-Ehrenstatue;Decoración de Estatua conmemorativa de Kitava para guarida
Опциональные;Miscellaneous;Обожжённая статуя;Scorched Statue;隱藏特效效果;烧灼的雕像;그을린 석상;灼けた像;Estátua Queimada;Scorched Statue;Statue calcinée;Versengte Statue;Estatua calcinada
Опциональные;Miscellaneous;Исчезающая краска;Vanishing Dye;背飾：獵捕者斗篷;透明染剂;소멸 염료;目に見えなくする染料;Tinta Invisível;สีล่องหน;Teinture d'invisibilité;Unsichtbarkeitsfarbe;Tinte de Desvanecimiento
Опциональные;Miscellaneous;Невидимый положительный эффект;Item Skin;身體外觀附加;隐形增益效果;아이템 스킨;透明なバフエフェクト;Efeito: Buff Invisível;เอฟเฟคบัฟล่องหน;Invisibilité d'Effet bénéfique;Unsichtbarer Stärkungseffekt;Efecto de Bonificación Invisible
Опциональные;Miscellaneous;Плащ егеря;Miscellaneous;武器外觀：死亡刻痕．魂靈;背饰：猎手披风;기타;山岳歩兵のマント;Capa Jaeger;ผ้าคลุม Jaeger;Cape de Jaeger;Feldjäger-Umhang;Capa de Pégalo
Опциональные;Miscellaneous;Призрачный смертоносный зазубренный лук;Invisible Buff Effect;武器外觀;幽魂死亡刻痕之弓;버프 이펙트 숨김;スペクトラル・デスノッチの弓;Arco do Nó Mortal Espectral;ธนูง้างมรณะ Spectral;Arc de Morte-encoche spectrale;Spektraler Leichensammler-Bogen;Arco de Muescas mortales espectral
Опциональные;Miscellaneous;Зелёный василиск;Jaeger Cloak;寵物：翠綠蜥蜴;宠物:翠绿蜥蜴;도둑갈매기 망토;緑のバジリスクペット;Mascote Basilisco Verde;สัตว์เลี้ยงบาสิลิสก์ Green;Basilic vert;Grüner Basilisk;Mascota Basilisco Verde
Опциональные;Miscellaneous;Призрачный василиск;Body Armour Attachment;寵物：幽魂蜥蜴;宠物:幽魂蜥蜴;갑옷 부착물;スペクトラルバジリスクペット;Mascote Basilisco Espectral;สัตว์เลี้ยงบาสิลิสก์ Spectral;Basilic spectral;Spektralbasilisk;Mascota Basilisco Espectral
Опциональные;Miscellaneous;Синяя лягушка;Spectral Deathnotch Bow;寵物：海藍鳴蛙;宠物:海蓝鸣蛙;영체 죽음의 오늬 활;青い蛙ペット;Mascote Sapo Azul;สัตว์เลี้ยงกบ Blue;Grenouille bleue;Blauer Frosch;Mascota Rana Azul
Опциональные;Miscellaneous;Синяя царевна-лягушка;Weapon Skin;寵物：皇家海藍鳴蛙;宠物:皇家海蓝鸣蛙;무기 스킨;王者の青い蛙ペット;Mascote Sapo Azul Real;สัตว์เลี้ยงกบ Royal Blue;Reine grenouille bleue;Blauer Königsfrosch;Mascota Rana Azul Real
Опциональные;Miscellaneous;Зеленая лягушка;Green Basilisk Pet;寵物：青葉鳴蛙;宠物:青叶鸣蛙;녹색 바실리스크 애완동물;緑の蛙ペット;Mascote Sapo Verde;สัตว์เลี้ยงกบ Green;Grenouille verte;Grüner Frosch;Mascota Rana Verde
Опциональные;Miscellaneous;Зеленая царевна-лягушка;Spectral Basilisk Pet;寵物：皇家青葉鳴蛙;宠物:皇家青叶鸣蛙;영체 바실리스크 애완동물;王者の緑の蛙ペット;Mascote Sapo Verde Real;สัตว์เลี้ยงกบ Royal Green;Reine grenouille verte;Grüner Königsfrosch;Mascota Rana Verde Real
Опциональные;Miscellaneous;Красная лягушка;Blue Frog Pet;寵物：赤紅鳴蛙;宠物:赤红鸣蛙;파란색 개구리 애완동물;赤い蛙ペット;Mascote Sapo Vermelho;สัตว์เลี้ยงกบ Red;Grenouille rouge;Roter Frosch;Mascota Rana Roja
Опциональные;Miscellaneous;Красная царевна-лягушка;Royal Blue Frog Pet;寵物：皇家赤紅鳴蛙;宠物:皇家赤红鸣蛙;왕실 파란색 개구리 애완동물;王者の赤い蛙ペット;Mascote Sapo Vermelho Real;สัตว์เลี้ยงกบ Royal Red;Reine grenouille rouge;Roter Königsfrosch;Mascota Rana Roja Real
Опциональные;Miscellaneous;Таинственная лягушка;Green Frog Pet;寵物：秘語鳴蛙;宠物:秘语鸣蛙;녹색 개구리 애완동물;不思議な蛙ペット;Mascote Sapo Misterioso;สัตว์เลี้ยงกบ Mysterious;Grenouille mystérieuse;Geheimnisvoller Frosch;Mascota Rana Misteriosa
Опциональные;Miscellaneous;Кузнечик;Royal Green Frog Pet;寵物：紐西蘭沙螽;宠物:新西兰沙螽;왕실 녹색 개구리 애완동물;ウェタペット;Mascote Grilo;สัตว์เลี้ยงเวตา;Weta;Weta;Mascota Weta
Опциональные;Miscellaneous;Кузнечик-колосс;Red Frog Pet;寵物：巨無霸沙螽;宠物:巨无霸沙螽;붉은 개구리 애완동물;巨大なウェタペット;Mascote Grilo Colossal;สัตว์เลี้ยงเวตา Colossal;Weta colossal;Riesiges Weta;Mascota Weta Colosal
